video_id,Deutschland,USA,Kanada,Großbritannien,total
tx6hcX7BpC4,1.0,0.0,0.0,0.0,1.0
aq2_dEBgPeg,1.0,0.0,0.0,0.0,1.0
dqmchgH9jwg,1.0,0.0,0.0,0.0,1.0
1YhtkrC2t0c,1.0,0.0,1.0,0.0,2.0
ITyHga-RWoE,1.0,0.0,0.0,0.0,1.0
ZGBZVovL3Yo,1.0,0.0,0.0,0.0,1.0
CXaufwUE_e4,2.0,0.0,0.0,0.0,2.0
yq-S3TMtW64,1.0,0.0,0.0,0.0,1.0
_PuX0A35lAI,1.0,0.0,0.0,0.0,1.0
kevrZ_P4VLI,1.0,0.0,0.0,0.0,1.0
izPKLdfZo64,1.0,0.0,0.0,0.0,1.0
3OVAxYFad_8,1.0,0.0,0.0,0.0,1.0
jGRyOPw93zg,1.0,0.0,0.0,0.0,1.0
YH1obme9L20,1.0,0.0,0.0,0.0,1.0
I-ADdAJ-its,1.0,0.0,0.0,0.0,1.0
_uM5kFfkhB8,1.0,0.0,3.0,0.0,4.0
giUivdCbg0g,1.0,0.0,0.0,0.0,1.0
XpQnnGdFe98,1.0,0.0,0.0,0.0,1.0
Y8kD7G5xQJk,1.0,0.0,0.0,0.0,1.0
QRcfpfyPpO4,1.0,0.0,0.0,0.0,1.0
AT76sOaT8Zk,1.0,0.0,0.0,0.0,1.0
HWtIkDpoSK8,1.0,0.0,0.0,0.0,1.0
W2eM585DawQ,1.0,0.0,0.0,0.0,1.0
TUmyygCMMGA,1.0,2.0,1.0,0.0,4.0
Cy9Gb9mVPUk,1.0,0.0,0.0,0.0,1.0
SQtTYtTkha8,1.0,0.0,0.0,0.0,1.0
YMf97kBw_BA,1.0,0.0,0.0,0.0,1.0
6-m1wRPvzlk,1.0,0.0,0.0,0.0,1.0
dVUQ48GY7WQ,1.0,0.0,0.0,0.0,1.0
CNF2F0oxRPI,1.0,0.0,0.0,0.0,1.0
oUPE3tQNFd0,2.0,0.0,0.0,0.0,2.0
rvwM535cjV4,1.0,0.0,0.0,0.0,1.0
M1XtccmX70A,2.0,0.0,0.0,0.0,2.0
w5qMOyPuUqU,1.0,0.0,1.0,0.0,2.0
ZeyZMwuEFNQ,1.0,0.0,0.0,0.0,1.0
pHSJKLbQgAM,1.0,0.0,0.0,0.0,1.0
NqqO2c5i3lI,1.0,0.0,0.0,0.0,1.0
2zdq5_hSI8w,1.0,0.0,0.0,0.0,1.0
8nqozlP3Rj4,1.0,0.0,0.0,0.0,1.0
9k_ARQLK4NU,1.0,0.0,0.0,0.0,1.0
zNd2pbCw3KY,1.0,0.0,0.0,0.0,1.0
zp5oj_nOs0w,1.0,0.0,0.0,0.0,1.0
ga_Ra5R-U0Q,1.0,0.0,0.0,0.0,1.0
8WhVEd_nQbU,1.0,0.0,0.0,0.0,1.0
EGae9gEo_vU,1.0,0.0,0.0,0.0,1.0
zTcNN-zwCog,5.0,0.0,0.0,0.0,5.0
7u6v3_pO-7E,2.0,0.0,0.0,0.0,2.0
vOtqfhwvY94,1.0,0.0,0.0,0.0,1.0
xqA-K6X5pU4,1.0,0.0,0.0,0.0,1.0
LPkOkDCk_6E,4.0,0.0,0.0,0.0,4.0
wqFYaZILMAQ,2.0,0.0,0.0,0.0,2.0
VsYmwBOYfW8,3.0,1.0,5.0,3.0,12.0
kgaO45SyaO4,2.0,3.0,2.0,3.0,10.0
pIMp3saKBEM,3.0,0.0,0.0,0.0,3.0
